Category,Item,Rate,Unit,Notes
LED Pricing,1.2mm LED panels,,$ per sqft,
LED Pricing,1.5mm LED panels,,$ per sqft,
LED Pricing,1.875mm LED panels,,$ per sqft,
LED Pricing,2.5mm LED panels,,$ per sqft,
LED Pricing,3.9mm LED panels,,$ per sqft,
LED Pricing,4mm LED panels,,$ per sqft,
LED Pricing,6mm LED panels,,$ per sqft,
LED Pricing,10mm LED panels,,$ per sqft,
LED Pricing,16mm LED panels,,$ per sqft,
Margins,LED hardware margin,,% (e.g. 30),
Margins,Services margin (standard),,%,
Margins,Services margin (small displays),,%,
Margins,Software / CMS margin,,%,
Bond & Tax,Performance bond rate,,%,
Bond & Tax,Default sales tax rate,,%,
Install - Steel Fabrication,Simple (basic wall mount),,$ per lb,
Install - Steel Fabrication,Standard (standard rigging),,$ per lb,
Install - Steel Fabrication,Complex (difficult access),,$ per lb,
Install - Steel Fabrication,Heavy (crane work / extreme),,$ per lb,
Install - LED,Simple install,,$ per sqft,
Install - LED,Standard install,,$ per sqft,
Install - LED,Complex install,,$ per sqft,
Install - Other,Heavy equipment,,$ per lb,
Install - Other,PM / GC / Travel,,$ per lb,
Install - Other,Electrical materials,,$ per sqft,
Other,Spare parts (% of LED cost),,%,
Other,Demolition (flat fee per display),,$ flat,
Other,Warranty annual escalation (yr 4-10),,%,
